1130; K1; Shower; Trees, Lawn Chess, Paradise Pool Entrance;438.75; N
1134; K1ZRP1;2 Bathrooms With Roman Tubs; Trees, Lawn Chess, Paradise Pool Entrance; 1226 (Living Room:720, Bedroom:506);1136
1136; Q2; Shower; Trees, Lawn Chess, Paradise Pool Entrance;475;1134
1138; K1; Shower; Trees, Lawn Chess, Paradise Pool Entrance;423; N
1140; K1; Shower; Paradise Wing Walkway And Garden; 517; N
1142; K1; Shower; Paradise Garden; 304; N
1144; K1; Shower; Paradise Garden; 310; N
1146; K1; Shower; Paradise Garden, Trees, Squaw Peak Lawn And Fountain;360;1148
1148; K1; Shower; Paradise Garden, Trees, Obstructed Squaw Peak Lawn And Fountain;320;1146
1150; K1; Shower; Paradise Garden, Trees, Obstructed Squaw Peak Lawn And Fountain;336; N
1152; Q1; Shower; Paradise Garden, Trees, Obstructed Squaw Peak Lawn And Fountain;344;1154
1154; K1; Shower; Paradise Garden, Trees, Obstructed Squaw Peak Lawn And Fountain;325.5; 1152 And 1156
1156; K1; Shower; Cottage K, Valley Wing And Walkway;368;1154
1158; K1; Shower; Cottage K, Valley Wing And Walkway;368; N
1160; K1; Shower, Tub; Paradise Garden, Valley Wing And Walkway;484; N
1200; K1; Shower; Roof Of Connecting Walkway Between Main And Conference Center, Gold Room Patio;330; N
1201; K1; Shower; Grand Ballroom Roof, Obstructed View Of Squaw Peak Lawn; 442; N
1202; K1; Shower; Roof Of Connecting Walkway Between Main And Conference Center, Gold Room Patio, Trees, Obstructed View Of Wrigley Mansion;365.5; N
1203; K1; Shower; No View: Grand Ballroom Roof, Big Trees, Obstructed View Of Squaw Peak Lawn;442; N
1204; K1; Shower; Roof Of Connecting Walkway Between Main And Conference Center, Gold Room Patio, Trees, Obstructed View Of Wrigley Mansion;273; N
1205; K1; Shower; No View: Grand Ballroom Roof, Big Trees, Obstructed View Of Squaw Peak Lawn;312; N
1207; K1; Shower; No View: Grand Ballroom Roof, Big Trees, Obstructed View Of Squaw Peak Lawn;338; N
1209; K1; Shower; No View: Grand Ballroom Roof, Big Trees, Obstructed View Of Squaw Peak Lawn;338; N
1211; K1; Shower; No View: Grand Ballroom Roof, Big Trees, Obstructed View Of Squaw Peak Lawn;338; N
1214; K1; Shower; Front Drive And Valet Parking, Lawn, Trees, Adobe Golf Course In The Distance;408; N
1215; K1; Shower; Outdoor Patio, Obstructed By Big Tree View Of Squaw Peak Lawn And Fountain;338; N
1216; K1; Shower; Front Drive And Valet Parking, Lawn, Trees, Adobe Golf Course In The Distance;313.5; N
1217; K1; Shower; Outdoor Patio Roof In A Way Of Nice View Of Squaw Peak Lawn, Fountain And Mountains;338; N
1218; K1; Shower; Front Drive And Valet Parking, Lawn, Trees, Roof Of Frank & Alberts Restaurant, Adobe Golf Course In The Distance;332.5; N
1219; K1; Shower; Outdoor Patio Roof In A Way Of Signature View Of Squaw Peak Lawn, Fountain And Piestewa Mountain;338; N
1220; K1; Shower; Front Drive And Valet Parking, Lawn, Trees, Roof Of Frank & Alberts Restaurant, Adobe Golf Course In The Distance;323; N
1221; K1; Shower; Outdoor Patio Roof In A Way Of Signature View Of Squaw Peak Lawn, Fountain And Mountain;338; N
1222; K1; Shower; No View At All: Frank & Albert's Restaurant Roof With Ac Units, Trees;364.25; N
1223; K1; Shower; Obstructed By Big Tree View Of Wright's Bar Patio Roof And Squaw Peak Lawn, Piestewa Mountain;325; N
1224; K1; Shower; No View At All: Frank & Albert's Restaurant Roof With Ac Units, Trees ;330; N
1225; K1; Shower; Obstructed By Big Tree View Of Wright's Bar Patio Roof And Squaw Peak Lawn, East Wing ;338; N
