1130, K1, Shower, trees/chess/Paradise pool entrance, 438.75, N
1134, K1ZRP1,2 Bathrooms w/Roman tub, trees/chess/Paradise pool entrance, 1226 (Living:720/Batrm:506), 1136
1136, Q2, shower, trees/chess/Paradise pool entrance, 475, 1134
1138, K1, shower, trees/chess/Paradise pool entrance, 423, N
1140, K1, shower, Paradise garden, 517, N
1142, K1, shower, Paradise garden, 304, N
1144, K1, shower, Paradise garden, 310, N
1146, K1, shower, Paradise garden, 360, 1148
1148, K1, shower, Paradise garden, 320, 1146
1150, K1, shower, Garden/Fountain, 336, N
1152, Q1, shower, obs. Garden/obs. Fountain, 344, 1154
1154, K1, shower, obs. Garden, 325.5, 1152 AND 1156
1156, K1, shower, Paradise garden, 368, 1154
1158, K1, shower, Paradise garden, 368, N
1160, K1, shower/tub, Paradise garden/Valley Wing, 484, N
1200, K1, shower, roof/Gold room patio, 330, N
1201, K1, shower, roof/obs. garden/fountain, 442, N
1202, K1, shower, roof/trees, 365.5, N
1203, K1, shower, roof/trees/Obs.Squaw Peak Lawn, 442, N
1204, K1, shower, trees/Gold room Wall, 273, N
1205, K1, shower, roof/trees/Obs.Squaw Peak Lawn, 312, N
1207, K1, shower, roof/trees/Obs.Squaw Peak Lawn, 338, N
1209, K1, shower,roof/trees/Obs.Squaw Peak Lawn, 338, N
1211, K1, shower, roof/trees/Obs.Squaw Peak Lawn, 338, N
1214, K1, shower, front drive/lawn, 408, N
1215, K1, shower, roof/Squaw Peak Lawn/mountain, 338, N
1216, K1, shower, front drive/lawn, 313.5, N
1217, K1, shower, roof/Squaw Peak Lawn/mountain, 338, N
1218, K1, shower, front drive/lawn, 332.5, N
1219, K1, shower, roof/Squaw Peak Lawn/mountain, 338, N
1220, K1, shower, front drive/lawn, 323, N
1221, K1, shower, roof/Squaw Peak Lawn/mountain, 338, N
1222, K1, shower, roof/trees, 364.25, N
1223, K1, shower, conopy/obs.Squaw Peak Lawn/mountain, 325, N
1224, K1, shower, roof/trees, 330, N
1225, K1, shower, roof/obs. garden/trees, 338, N
1226, K1, shower, roof/trees, 308, N
1227, K1, shower, roof/big trees/obs. garden, 338, N
1228, K1, shower, roof/trees/grill patio, 352, N
1229, K1, shower, roof, tree, obs. garden, 312, N
1230, K1, shower, trees, lawn, 562.5, N
1231, K1, shower, trees/Squaw Peak Lawn/mountain, 462, N
1233, K1, shower, nice Squaw Peak Lawn/mountain, 341, N
1234, K1ZRP1, 2 bathrooms w/roman tub, trees/lawn/pool, 1124.5 (Living:612/Batrm:512.5), 1236
1235, K1, shower, Squaw Peak Lawn/obs.mountain, 374, N
1236, Q2, shower, trees/pool, 475, N
1237, K1, shower, Squaw Peak Lawn/obs.mountain, 352, N
1238, Q2, shower, trees, 450, N
1239, K1, shower, Squaw Peak Lawn/obs.mountain, 352, N
1240, K1, shower, garden/obs. pool, 517, N
1241, K1, shower, Squaw Peak Lawn, 374, N
1242, K1, shower, garden/obs. pool, 304, N
1243, K1, shower, Squaw Peak Lawn/tree, 418, N
1244, K1, shower/large bathroom, garden/tree, 320, N
1246, K1, shower, partial garden/trees, 418, 1248
1248, K1, shower, garden/trees, 320, 1246
